Threads,Schedule,ChunkSize,Time,CenterValue,AverageValue
1,static,1,0.14597,0.09505,0.00010
1,static,4,0.13487,0.09505,0.00010
1,static,8,0.13469,0.09505,0.00010
1,dynamic,1,0.37928,0.09505,0.00010
1,dynamic,4,0.19472,0.09505,0.00010
1,dynamic,8,0.16924,0.09505,0.00010
1,guided,1,0.13886,0.09505,0.00010
1,guided,4,0.14215,0.09505,0.00010
1,guided,8,0.13431,0.09505,0.00010
2,static,1,0.21774,0.09505,0.00010
2,static,4,0.10688,0.09505,0.00010
2,static,8,0.09275,0.09505,0.00010
2,dynamic,1,0.57187,0.09505,0.00010
2,dynamic,4,0.16294,0.09505,0.00010
2,dynamic,8,0.12236,0.09505,0.00010
2,guided,1,0.07242,0.09505,0.00010
2,guided,4,0.09703,0.09505,0.00010
2,guided,8,0.07853,0.09505,0.00010
4,static,1,0.15182,0.09505,0.00010
4,static,4,0.06605,0.09505,0.00010
4,static,8,0.05947,0.09505,0.00010
4,dynamic,1,0.48483,0.09505,0.00010
4,dynamic,4,0.13313,0.09505,0.00010
4,dynamic,8,0.08667,0.09505,0.00010
4,guided,1,0.05617,0.09505,0.00010
4,guided,4,0.04456,0.09505,0.00010
4,guided,8,0.04859,0.09505,0.00010
8,static,1,0.09637,0.09505,0.00010
8,static,4,0.05617,0.09505,0.00010
8,static,8,0.04637,0.09505,0.00010
8,dynamic,1,0.51454,0.09505,0.00010
8,dynamic,4,0.12607,0.09505,0.00010
8,dynamic,8,0.08116,0.09505,0.00010
8,guided,1,0.04024,0.09505,0.00010
8,guided,4,0.03927,0.09505,0.00010
8,guided,8,0.03518,0.09505,0.00010
16,static,1,0.82688,0.09505,0.00010
16,static,4,0.81530,0.09505,0.00010
16,static,8,0.82390,0.09505,0.00010
16,dynamic,1,0.89937,0.09505,0.00010
16,dynamic,4,0.79544,0.09505,0.00010
16,dynamic,8,0.78671,0.09505,0.00010
16,guided,1,0.78549,0.09505,0.00010
16,guided,4,0.79405,0.09505,0.00010
16,guided,8,0.78562,0.09505,0.00010
