threads,schedule,collapse,N,tempo
1,static,1,50,0.271307
1,static,2,50,0.269579
1,static,3,50,0.270839
1,dynamic,1,50,0.799945
1,dynamic,2,50,0.799120
1,dynamic,3,50,0.799011
1,guided,1,50,0.272954
1,guided,2,50,0.271963
1,guided,3,50,0.271662
2,static,1,100,1.561008
2,static,2,100,1.560780
2,static,3,100,1.559855
2,dynamic,1,100,5.025018
2,dynamic,2,100,4.997694
2,dynamic,3,100,5.036588
2,guided,1,100,1.561437
2,guided,2,100,1.571422
2,guided,3,100,1.564189
4,static,1,200,13.032601
4,static,2,200,12.921477
4,dynamic,2,200,42.387740
4,static,3,200,12.949039
4,dynamic,3,200,42.321910
4,dynamic,1,200,42.269443
8,static,3,400,104.934889
4,guided,1,200,13.020870
4,guided,2,200,12.983901
4,guided,3,200,12.951939
4,dynamic,2,200,42.398196
4,dynamic,3,200,42.456253
4,guided,1,200,12.988152
8,static,3,400,143.864112
4,guided,2,200,12.975499
4,guided,3,200,12.982643
8,static,1,400,105.118347
8,static,3,400,148.386495
8,static,1,400,105.305748
8,static,2,400,105.215472
8,static,2,400,105.248622
8,dynamic,1,400,345.076567
8,static,3,400,105.565116
8,static,3,400,105.378268
8,dynamic,2,400,336.778876
8,dynamic,1,400,339.274884
8,dynamic,1,400,329.371947
8,dynamic,2,400,313.211404
